"cluster_id","state","treated","period","post","remoteness_index","n_surveyed","n_using_modern_method","mCPR_pct"
"CL-124","Oyo",1,"2025_wave2_post",1,4.9,169,59,34.91
"CL-125","Oyo",1,"2023_wave0_pre",0,3.3,192,41,21.35
"CL-125","Oyo",1,"2024_wave1_pre",0,3.3,106,15,14.15
"CL-125","Oyo",1,"2025_wave2_post",1,3.3,205,59,28.78
"CL-126","Oyo",1,"2023_wave0_pre",0,6.7,168,57,33.93
"CL-126","Oyo",1,"2024_wave1_pre",0,6.7,175,61,34.86
"CL-126","Oyo",1,"2025_wave2_post",1,6.7,148,58,39.19
"CL-127","Oyo",1,"2023_wave0_pre",0,2.8,141,40,28.37
"CL-127","Oyo",1,"2024_wave1_pre",0,2.8,175,44,25.14
"CL-127","Oyo",1,"2025_wave2_post",1,2.8,199,63,31.66
"CL-128","Oyo",1,"2023_wave0_pre",0,2.2,163,39,23.93
"CL-128","Oyo",1,"2024_wave1_pre",0,2.2,204,57,27.94
"CL-128","Oyo",1,"2025_wave2_post",1,2.2,183,58,31.69
"CL-129","Oyo",1,"2023_wave0_pre",0,4.5,184,39,21.2
"CL-129","Oyo",1,"2024_wave1_pre",0,4.5,167,40,23.95
"CL-129","Oyo",1,"2025_wave2_post",1,4.5,115,39,33.91
"CL-130","Oyo",1,"2023_wave0_pre",0,2.8,183,46,25.14
"CL-130","Oyo",1,"2024_wave1_pre",0,2.8,172,65,37.79
"CL-130","Oyo",1,"2025_wave2_post",1,2.8,167,66,39.52
"CL-131","Oyo",1,"2023_wave0_pre",0,9.5,146,48,32.88
"CL-131","Oyo",1,"2024_wave1_pre",0,9.5,177,42,23.73
"CL-131","Oyo",1,"2025_wave2_post",1,9.5,212,76,35.85
"CL-132","Oyo",1,"2023_wave0_pre",0,3.9,178,79,44.38
"CL-132","Oyo",1,"2024_wave1_pre",0,3.9,189,78,41.27
"CL-132","Oyo",1,"2025_wave2_post",1,3.9,128,64,50
"CL-133","Oyo",0,"2023_wave0_pre",0,1.9,152,37,24.34
"CL-133","Oyo",0,"2024_wave1_pre",0,1.9,196,58,29.59
"CL-133","Oyo",0,"2025_wave2_post",1,1.9,216,64,29.63
"CL-134","Oyo",0,"2023_wave0_pre",0,0.5,199,60,30.15
"CL-134","Oyo",0,"2024_wave1_pre",0,0.5,163,40,24.54
"CL-134","Oyo",0,"2025_wave2_post",1,0.5,216,62,28.7
"CL-135","Oyo",0,"2023_wave0_pre",0,7.8,182,51,28.02
"CL-135","Oyo",0,"2024_wave1_pre",0,7.8,187,51,27.27
"CL-135","Oyo",0,"2025_wave2_post",1,7.8,210,72,34.29
"CL-136","Oyo",0,"2023_wave0_pre",0,4.3,168,33,19.64
"CL-136","Oyo",0,"2024_wave1_pre",0,4.3,189,35,18.52
"CL-136","Oyo",0,"2025_wave2_post",1,4.3,178,36,20.22
"CL-137","Oyo",0,"2023_wave0_pre",0,2.7,195,47,24.1
"CL-137","Oyo",0,"2024_wave1_pre",0,2.7,182,46,25.27
"CL-137","Oyo",0,"2025_wave2_post",1,2.7,166,48,28.92
"CL-138","Oyo",0,"2023_wave0_pre",0,2.9,158,32,20.25
"CL-138","Oyo",0,"2024_wave1_pre",0,2.9,215,48,22.33
"CL-138","Oyo",0,"2025_wave2_post",1,2.9,141,48,34.04
"CL-139","Oyo",0,"2023_wave0_pre",0,3.7,209,48,22.97
"CL-139","Oyo",0,"2024_wave1_pre",0,3.7,136,40,29.41
"CL-139","Oyo",0,"2025_wave2_post",1,3.7,178,47,26.4
"CL-140","Oyo",0,"2023_wave0_pre",0,3.6,161,36,22.36
"CL-140","Oyo",0,"2024_wave1_pre",0,3.6,195,62,31.79
"CL-140","Oyo",0,"2025_wave2_post",1,3.6,174,42,24.14
"CL-141","Oyo",0,"2023_wave0_pre",0,3.6,135,42,31.11
"CL-141","Oyo",0,"2024_wave1_pre",0,3.6,211,50,23.7
"CL-141","Oyo",0,"2025_wave2_post",1,3.6,228,58,25.44
"CL-142","Oyo",0,"2023_wave0_pre",0,7.8,157,38,24.2
"CL-142","Oyo",0,"2024_wave1_pre",0,7.8,149,27,18.12
"CL-142","Oyo",0,"2025_wave2_post",1,7.8,187,39,20.86
"CL-143","Oyo",0,"2023_wave0_pre",0,7.8,171,43,25.15
"CL-143","Oyo",0,"2024_wave1_pre",0,7.8,184,36,19.57
"CL-143","Oyo",0,"2025_wave2_post",1,7.8,167,47,28.14
"CL-144","Oyo",0,"2023_wave0_pre",0,3.6,176,33,18.75
"CL-144","Oyo",0,"2024_wave1_pre",0,3.6,156,28,17.95
"CL-144","Oyo",0,"2025_wave2_post",1,3.6,205,42,20.49
